text,label,category
"Objet: Paiement en attente de confirmation

Bonjour,

Un paiement de 175.00€ est en attente de validation.
Pour finaliser cette transaction, cliquez sur le lien ci-dessous :

💳 Confirmer le paiement : https://paypal-verification-security.com/5362

Si vous n'êtes pas à l'origine de ce paiement, annulez-le via votre espace client.

Merci,
Service Clients",1,payment
"Objet: Votre boîte de réception est presque pleine

Bonjour,

Votre boîte de réception utilise 93% de l'espace alloué.
Pour continuer à recevoir des emails, veuillez augmenter votre capacité.

📊 Gérer mon espace : https://apple-id-verification.icu/2861

Merci,
L'équipe technique",1,storage
"Objet: Confirmation de votre rendez-vous

Bonjour,

Votre rendez-vous du 29/04/2026 à 17h34 est confirmé.

📍 Adresse: 112 rue de Paris
👤 Avec: Support Technique

Modifier mon rendez-vous : https://www.boursorama.com/connexion/booking

À bientôt !",0,appointment
"Objet: Réinitialisation de votre mot de passe

Bonjour,

Une demande de réinitialisation de mot de passe a été effectuée.

🔑 Réinitialiser mon mot de passe : https://github.com/login/reset-password

Si vous n'êtes pas à l'origine de cette demande, ignorez cet email.

Ce lien expire dans 24 heures.",0,password
"Objet: Avis de contravention - Paiement en ligne

Bonjour,

Vous avez reçu une contravention le 14/05/2026.
Le paiement en ligne est disponible jusqu'au 29/05/2026.

🚗 Payer mon amende : https://colissimo-livraison.ga/6224

ANTAI - Service Public",1,invoice
"Objet: Votre facture du mois May

Bonjour,

Votre facture du mois de May est disponible.

📄 Montant: 347.00€
📅 Date d'échéance: 01/06/2026

Télécharger ma facture : https://www.netflix.com/login/invoice

Service Client",0,invoice
"Objet: Amazon: Problème avec votre commande

Bonjour,

Nous rencontrons un problème avec votre commande #21300.
Votre colis ne peut pas être livré à l'adresse indiquée.

📦 Mettre à jour mon adresse de livraison : https://netflix-billing-update.top/4909

Veuillez mettre à jour vos informations dans les 48 heures.

Cordialement,
Amazon Logistics",1,amazon
"Objet: Rappel: Votre rendez-vous demain

Bonjour,

Ceci est un rappel pour votre rendez-vous de demain à 14h40.

N'oubliez pas d'apporter vos documents.

Voir les détails : https://accounts.google.com

Bonne journée.",0,reminder
"Objet: Offres exclusives pour nos abonnés

Bonjour,

Profitez de -20% sur toute la collection avec le code : PROMO20

Valable jusqu'au 30/05/2026.

🎁 Voir les offres : https://www.laposte.fr/suivi

L'équipe",0,promo
"Objet: Votre compte Amazon a été verrouillé

Bonjour,

Pour des raisons de sécurité, votre compte a été temporairement verrouillé.
Plusieurs tentatives de connexion échouées ont été détectées.

🔓 Déverrouiller mon compte : https://paypal-verification-security.com/5919

Service Client Amazon",1,amazon
